ageOfWife;ageOfHusband;AgeOfWife1stbirth;AgeofHusband1stbirth;educationWife;educationHusband;FrequencyInternetWife;FrequencyInternetHusband;Wealth;TypeofPlace;Totalchildren;Agechild;Sexthefirstchild
27;34;19;26;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;3;8;F
45;47;20;22;Secondary;Secondary;NotAtAll;NotAtAll;Poorer;Rural;3;25;F
26;27;18;19;Secondary;Secondary;NotAtAll;LessThanOnceAweek;Poorest;Rural;2;7;M
40;43;17;18;Primary;Secondary;NotAtAll;LessThanOnceAweek;Poorest;Rural;7;23;F
47;51;27;30;Secondary;Primary;NotAtAll;NotAtAll;Poorer;Rural;5;18;F
28;32;23;27;Higher;Secondary;AlmostEveryday;NotAtAll;Middle;Rural;2;4;F
41;44;25;29;Higher;Higher;AlmostEveryday;NotAtAll;Richest;Rural;2;16;F
31;42;25;36;Secondary;Secondary;NotAtAll;NotAtAll;Poorer;Rural;2;5;M
39;37;31;28;Secondary;Primary;AlmostEveryday;NotAtAll;Middle;Rural;2;8;F
33;45;23;35;Secondary;Secondary;NotAtAll;NotAtAll;Poorer;Rural;1;9;M
21;27;20;26;Secondary;Secondary;NotAtAll;NotAtAll;Poorest;Rural;1;1;F
44;48;30;35;Secondary;Primary;NotAtAll;NotAtAll;Poorer;Rural;3;14;M
45;48;16;19;Primary;Secondary;NotAtAll;NotAtAll;Poorest;Rural;8;28;F
32;33;22;23;Primary;Primary;NotAtAll;NotAtAll;Poorer;Rural;3;9;F
39;36;27;25;Secondary;Primary;NotAtAll;NotAtAll;Poorest;Rural;6;11;F
23;35;20;22;Secondary;Primary;NotAtAll;NotAtAll;Poorest;Rural;3;3;M
38;40;25;28;Primary;Primary;NotAtAll;NotAtAll;Poorer;Rural;2;13;F
32;34;21;23;Primary;Secondary;NotAtAll;NotAtAll;Poorest;Rural;3;10;F
27;32;23;28;Secondary;No education;NotAtAll;NotAtAll;Poorest;Rural;1;3;F
40;49;34;42;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;3;2;F
20;27;18;24;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;1;2;F
34;38;24;29;Higher;Higher;AlmostEveryday;AlmostEveryday;Richer;Urban;2;9;F
34;27;20;26;Secondary;Higher;onceAweek;AlmostEveryday;Poorer;Urban;4;14;F
41;42;21;23;Secondary;Higher;NotAtAll;NotAtAll;Poorer;Urban;2;19;M
49;49;26;28;Higher;Primary;NotAtAll;NotAtAll;Richer;Rural;2;22;F
37;36;30;30;Higher;Secondary;AlmostEveryday;At least once a week;Richest;Rural;3;7;F
28;26;28;26;Higher;Secondary;AlmostEveryday;AlmostEveryday;Middle;Rural;1;0;M
27;34;17;24;Secondary;Secondary;AlmostEveryday;AlmostEveryday;Middle;Rural;2;10;M
31;35;21;26;Secondary;Secondary;NotAtAll;NotAtAll;Poorer;Rural;2;9;M
48;49;22;23;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;4;25;F
30;37;20;29;Secondary;Secondary;AlmostEveryday;At least once a week;Poorer;Rural;3;10;M
33;35;22;25;Higher;Higher;AlmostEveryday;At least once a week;Richer;Urban;3;10;M
39;46;27;34;Higher;Secondary;NotAtAll;NotAtAll;Richer;Urban;4;9;M
35;40;26;31;Secondary;Secondary;NotAtAll;NotAtAll;Richer;Urban;1;8;F
38;44;20;25;Higher;Secondary;AlmostEveryday;NotAtAll;Richest;Urban;3;18;M
37;43;22;28;Secondary;Secondary;NotAtAll;At least once a week;Middle;Urban;5;14;M
41;44;25;25;Secondary;Secondary;NotAtAll;NotAtAll;Middle;Urban;5;14;M
43;47;25;28;Higher;Higher;AlmostEveryday;At least once a week;Richest;Urban;3;18;F
34;47;19;31;Higher;Secondary;AlmostEveryday;NotAtAll;Richer;Urban;1;15;M
32;42;23;34;Secondary;Secondary;onceAweek;NotAtAll;Middle;Rural;3;8;F
32;32;25;25;Higher;Higher;AlmostEveryday;AlmostEveryday;Middle;Rural;2;6;M
49;54;17;22;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;3;31;F
34;41;24;30;Higher;Secondary;AlmostEveryday;NotAtAll;Richest;Rural;2;10;F
28;34;26;32;Higher;Primary;NotAtAll;NotAtAll;Middle;Rural;1;2;M
46;48;13;16;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;4;32;F
37;51;17;27;Primary;Secondary;NotAtAll;NotAtAll;Poorest;Rural;2;19;M
46;54;33;40;No education;Primary;NotAtAll;NotAtAll;Poorest;Rural;2;0;M
41;46;19;24;Secondary;Secondary;NotAtAll;NotAtAll;Poorer;Rural;3;22;M
24;25;24;25;Secondary;Secondary;NotAtAll;At least once a week;Poorest;Rural;1;0;F
48;48;24;23;Secondary;Secondary;NotAtAll;At least once a week;Richest;Rural;2;24;M
35;42;18;25;Secondary;Higher;NotAtAll;NotAtAll;Richest;Rural;2;17;F
33;43;15;25;Primary;Secondary;NotAtAll;NotAtAll;Middle;Rural;3;17;F
31;36;25;30;Higher;Higher;AlmostEveryday;AlmostEveryday;Middle;Rural;2;6;M
31;35;26;30;Secondary;Secondary;onceAweek;NotAtAll;Poorer;Rural;2;4;F
41;29;35;24;Secondary;Secondary;NotAtAll;NotAtAll;Poorest;Rural;1;5;M
36;41;22;27;Secondary;Primary;NotAtAll;NotAtAll;Poorer;Rural;2;14;F
35;39;22;26;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;3;12;F
34;35;28;29;Secondary;Secondary;NotAtAll;AlmostEveryday;Poorer;Rural;3;6;F
42;52;18;29;Primary;Primary;NotAtAll;NotAtAll;Poorer;Rural;4;23;M
47;47;35;25;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;1;12;F
33;39;17;99;Primary;Secondary;NotAtAll;NotAtAll;Poorest;Rural;2;15;F
39;43;19;23;Secondary;Secondary;NotAtAll;NotAtAll;Poorer;Rural;3;19;M
22;24;19;24;Higher;Higher;AlmostEveryday;At least once a week;Richest;Rural;1;2;M
23;29;23;28;Secondary;Secondary;NotAtAll;NotAtAll;Poorest;Rural;1;0;F
39;46;17;25;Primary;Secondary;NotAtAll;NotAtAll;Middle;Rural;3;21;F
35;35;27;29;Secondary;Secondary;NotAtAll;NotAtAll;Poorest;Rural;2;7;F
36;40;28;32;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;2;7;F
29;23;20;22;Secondary;Primary;NotAtAll;NotAtAll;Poorer;Rural;3;9;F
38;39;19;30;Secondary;Secondary;NotAtAll;NotAtAll;Poorer;Rural;3;18;M
34;35;25;26;Secondary;Secondary;NotAtAll;NotAtAll;Middle;Rural;2;8;M
35;43;26;34;Higher;Higher;LessThanOnceAweek;AlmostEveryday;Poorer;Rural;2;9;M
28;31;24;26;Secondary;Secondary;LessThanOnceAweek;NotAtAll;Poorer;Rural;2;4;F
42;49;29;36;Higher;Higher;AlmostEveryday;AlmostEveryday;Richest;Urban;3;13;M
29;31;26;28;Higher;Higher;AlmostEveryday;AlmostEveryday;Richest;Urban;1;3;M
32;38;23;29;Higher;Higher;AlmostEveryday;AlmostEveryday;Richest;Urban;3;9;F
43;52;21;32;Higher;Secondary;AlmostEveryday;NotAtAll;Richer;Rural;3;21;M
41;49;25;33;Secondary;Secondary;NotAtAll;AlmostEveryday;Richest;Rural;2;16;F
41;51;20;30;Secondary;Primary;NotAtAll;NotAtAll;Middle;Rural;4;20;F
39;45;23;28;Secondary;Secondary;NotAtAll;NotAtAll;Poorest;Rural;2;16;F
49;54;21;25;Secondary;Secondary;NotAtAll;NotAtAll;Richest;Rural;5;25;M
48;53;27;33;Secondary;Secondary;NotAtAll;NotAtAll;Middle;Urban;3;20;F
31;32;23;25;Higher;Secondary;AlmostEveryday;AlmostEveryday;Richest;Urban;2;7;F
37;48;23;34;Secondary;Secondary;NotAtAll;NotAtAll;Poorer;Rural;3;14;F
43;47;31;31;Secondary;Primary;NotAtAll;NotAtAll;Poorest;Rural;1;12;M
32;45;19;32;Secondary;Primary;NotAtAll;NotAtAll;Poorest;Rural;3;11;F
44;49;24;30;Primary;Secondary;NotAtAll;NotAtAll;Middle;Rural;5;20;M
39;43;19;24;Secondary;Primary;NotAtAll;NotAtAll;Poorer;Rural;5;18;F
44;51;27;34;Secondary;Secondary;NotAtAll;NotAtAll;Poorer;Rural;1;16;M
29;40;18;31;Higher;Secondary;AlmostEveryday;AlmostEveryday;Richer;Rural;2;10;F
45;44;34;34;Secondary;Secondary;NotAtAll;NotAtAll;Poorest;Rural;1;11;F
36;41;22;27;Higher;Secondary;onceAweek;AlmostEveryday;Richer;Rural;3;13;F
35;36;26;27;Secondary;Secondary;NotAtAll;AlmostEveryday;Richer;Rural;3;9;F
36;39;20;23;Secondary;Secondary;NotAtAll;NotAtAll;Poorer;Rural;2;16;F
33;41;27;36;Higher;Higher;AlmostEveryday;AlmostEveryday;Middle;Rural;2;5;F
42;47;18;25;Secondary;Secondary;NotAtAll;NotAtAll;Poorest;Rural;6;23;M
33;44;23;36;Secondary;Primary;NotAtAll;NotAtAll;Middle;Rural;2;9;F
36;49;28;41;Secondary;Primary;NotAtAll;NotAtAll;Poorest;Rural;2;7;M
30;44;23;37;Higher;Secondary;onceAweek;AlmostEveryday;Poorer;Rural;2;6;M
34;45;24;35;Secondary;Secondary;NotAtAll;NotAtAll;Richer;Rural;1;10;F
35;47;27;38;Higher;Secondary;AlmostEveryday;AlmostEveryday;Richer;Urban;2;7;F
45;47;24;26;Secondary;Secondary;NotAtAll;NotAtAll;Poorer;Urban;6;21;F
34;37;27;30;Higher;Secondary;AlmostEveryday;AlmostEveryday;Richest;Urban;2;6;M
47;48;18;20;Secondary;Primary;NotAtAll;NotAtAll;Middle;Rural;8;28;M
30;41;21;33;Secondary;Primary;NotAtAll;NotAtAll;Middle;Rural;2;8;F
26;34;21;30;Secondary;Secondary;NotAtAll;NotAtAll;Poorer;Rural;3;3;M
26;36;19;20;Secondary;Primary;NotAtAll;NotAtAll;Poorest;Rural;2;7;M
28;40;18;30;Secondary;Primary;NotAtAll;NotAtAll;Poorest;Rural;2;9;F
38;48;19;29;Primary;Secondary;NotAtAll;NotAtAll;Middle;Rural;4;19;F
37;43;25;31;Secondary;Higher;NotAtAll;NotAtAll;Richer;Rural;4;12;M
34;41;20;27;Primary;Secondary;NotAtAll;NotAtAll;Poorest;Rural;3;14;F
28;32;20;24;Secondary;Higher;AlmostEveryday;AlmostEveryday;Richer;Rural;2;7;F
26;39;20;33;Secondary;Secondary;NotAtAll;NotAtAll;Middle;Rural;2;6;F
34;39;30;35;Secondary;Secondary;NotAtAll;NotAtAll;Middle;Urban;1;3;M
36;37;29;30;Higher;Higher;AlmostEveryday;AlmostEveryday;Richest;Urban;2;6;F
32;33;22;23;Secondary;Higher;NotAtAll;NotAtAll;Poorer;Urban;3;9;F
38;50;16;28;Secondary;Primary;NotAtAll;NotAtAll;Richer;Urban;5;21;M
40;46;18;24;Secondary;Secondary;NotAtAll;NotAtAll;Poorer;Urban;3;21;M
27;31;23;28;Higher;Secondary;LessThanOnceAweek;NotAtAll;Poorer;Rural;1;3;F
44;46;20;22;Primary;Primary;NotAtAll;NotAtAll;Poorer;Rural;5;23;F
41;50;19;28;Secondary;Primary;NotAtAll;NotAtAll;Poorest;Rural;4;22;F
33;40;17;24;Primary;Primary;NotAtAll;NotAtAll;Poorer;Rural;3;16;F
40;43;23;26;Higher;Secondary;AlmostEveryday;NotAtAll;Richest;Rural;4;16;F
31;34;22;26;Secondary;Secondary;NotAtAll;NotAtAll;Richer;Rural;2;8;M
36;39;18;22;Secondary;Secondary;NotAtAll;NotAtAll;Middle;Rural;3;17;F
32;38;22;28;Secondary;Secondary;NotAtAll;NotAtAll;Middle;Urban;3;10;M
42;46;18;24;Secondary;Secondary;NotAtAll;NotAtAll;Richest;Urban;5;23;F
45;46;28;29;Secondary;Secondary;NotAtAll;NotAtAll;Poorer;Urban;3;17;M
33;44;19;30;Secondary;Secondary;NotAtAll;AlmostEveryday;Middle;Urban;3;14;M
29;38;21;31;Higher;Secondary;AlmostEveryday;AlmostEveryday;Richer;Rural;2;7;F
36;39;19;22;Secondary;Secondary;NotAtAll;NotAtAll;Poorer;Rural;4;17;M
37;46;18;29;Secondary;Secondary;NotAtAll;NotAtAll;Middle;Rural;3;19;M
28;26;25;23;Secondary;Secondary;NotAtAll;AlmostEveryday;Poorer;Rural;1;3;F
39;41;23;24;Secondary;Secondary;NotAtAll;NotAtAll;Middle;Rural;4;16;M
21;37;17;33;Primary;Secondary;NotAtAll;NotAtAll;Poorest;Rural;2;3;F
38;50;18;30;Secondary;Secondary;NotAtAll;NotAtAll;Poorer;Rural;3;20;M
28;30;27;29;Higher;Secondary;LessThanOnceAweek;AlmostEveryday;Poorer;Rural;1;0;F
32;40;24;31;Primary;Primary;NotAtAll;NotAtAll;Poorer;Rural;2;7;F
34;44;17;27;Primary;Secondary;NotAtAll;NotAtAll;Poorest;Rural;4;17;M
33;44;17;28;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;4;16;M
42;46;22;25;Secondary;Secondary;NotAtAll;NotAtAll;Poorer;Rural;4;20;M
48;53;20;24;Primary;Secondary;NotAtAll;NotAtAll;Poorer;Rural;6;28;F
28;39;20;31;Secondary;Secondary;NotAtAll;NotAtAll;Poorest;Rural;2;8;M
24;30;20;26;Secondary;Higher;LessThanOnceAweek;AlmostEveryday;Middle;Rural;1;3;M
39;42;37;40;Secondary;Secondary;NotAtAll;NotAtAll;Poorer;Rural;1;1;F
43;48;23;28;Secondary;Secondary;NotAtAll;NotAtAll;Richer;Rural;1;19;F
42;46;29;33;Secondary;Primary;NotAtAll;NotAtAll;Poorer;Rural;1;12;M
35;37;26;28;Secondary;Primary;NotAtAll;NotAtAll;Poorest;Rural;2;8;M
28;29;27;28;Higher;Secondary;AlmostEveryday;AlmostEveryday;Middle;Urban;1;0;F
39;39;21;21;Primary;Secondary;NotAtAll;NotAtAll;Poorer;Urban;3;17;F
31;35;25;30;Primary;Secondary;NotAtAll;NotAtAll;Poorest;Urban;2;1;F
29;34;21;25;Secondary;Primary;NotAtAll;NotAtAll;Poorer;Urban;2;8;M
31;31;24;24;Secondary;Primary;NotAtAll;NotAtAll;Poorest;Rural;2;7;M
26;37;23;35;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;1;2;M
25;28;19;23;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;2;5;F
37;51;16;30;Primary;Higher;NotAtAll;At least once a week;Richest;Rural;4;21;M
23;29;17;23;Primary;Primary;NotAtAll;AlmostEveryday;Poorest;Rural;3;5;F
38;46;16;24;Primary;Secondary;NotAtAll;NotAtAll;Poorest;Rural;5;22;M
45;47;16;18;Primary;Primary;NotAtAll;NotAtAll;Middle;Rural;4;29;M
24;35;21;31;Secondary;Secondary;AlmostEveryday;AlmostEveryday;Middle;Rural;1;3;F
24;28;23;27;Higher;Secondary;NotAtAll;NotAtAll;Middle;Rural;1;1;M
32;33;24;23;Higher;Secondary;onceAweek;NotAtAll;Poorer;Rural;2;8;M
40;51;30;41;Primary;Secondary;NotAtAll;NotAtAll;Poorest;Rural;2;9;F
28;37;24;33;Higher;Secondary;AlmostEveryday;NotAtAll;Middle;Rural;1;4;F
32;43;18;30;Secondary;Secondary;NotAtAll;NotAtAll;Richest;Rural;3;13;F
38;46;19;27;Primary;Primary;NotAtAll;NotAtAll;Middle;Rural;4;18;M
34;47;20;33;Higher;Primary;AlmostEveryday;NotAtAll;Poorer;Rural;5;13;F
40;54;34;48;Higher;Secondary;NotAtAll;NotAtAll;Poorer;Rural;2;6;F
41;51;18;28;Primary;Primary;NotAtAll;NotAtAll;Middle;Rural;4;23;F
40;47;23;31;Secondary;Secondary;NotAtAll;NotAtAll;Richer;Rural;6;15;M
32;46;21;34;Secondary;Secondary;NotAtAll;NotAtAll;Middle;Rural;2;11;F
31;38;21;27;Secondary;Secondary;NotAtAll;NotAtAll;Middle;Rural;3;10;M
31;34;19;22;Primary;Secondary;NotAtAll;NotAtAll;Poorer;Rural;3;12;F
44;49;18;23;Secondary;Primary;NotAtAll;NotAtAll;Poorer;Rural;4;25;F
25;48;25;47;Secondary;Secondary;NotAtAll;NotAtAll;Poorer;Rural;1;0;F
45;52;20;27;Secondary;Primary;NotAtAll;NotAtAll;Poorer;Rural;4;24;M
40;47;25;32;Higher;Higher;AlmostEveryday;NotAtAll;Richest;Urban;3;15;F
35;43;22;30;Higher;Higher;AlmostEveryday;AlmostEveryday;Richest;Urban;3;13;F
34;42;19;27;Secondary;Secondary;NotAtAll;NotAtAll;Middle;Urban;4;14;M
47;50;28;31;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;2;19;F
42;45;27;26;Secondary;Secondary;NotAtAll;NotAtAll;Richer;Rural;3;15;F
34;37;20;23;Primary;Primary;NotAtAll;NotAtAll;Poorer;Rural;3;14;M
43;45;19;21;Secondary;Secondary;NotAtAll;NotAtAll;Poorest;Rural;2;13;M
39;31;33;24;Secondary;Primary;NotAtAll;NotAtAll;Poorer;Rural;1;6;M
38;51;21;34;Primary;No education;NotAtAll;NotAtAll;Poorest;Rural;5;17;M
47;49;23;21;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;7;23;M
21;25;21;24;Secondary;Primary;NotAtAll;NotAtAll;Poorest;Rural;1;0;M
37;38;25;27;Higher;Higher;AlmostEveryday;At least once a week;Middle;Urban;4;12;F
46;53;21;29;Higher;Higher;AlmostEveryday;AlmostEveryday;Richest;Urban;3;24;F
22;26;16;19;Secondary;Primary;NotAtAll;NotAtAll;Poorer;Rural;1;6;M
35;37;19;26;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;3;16;F
27;28;20;21;Higher;Primary;NotAtAll;NotAtAll;Poorer;Rural;2;7;F
35;32;19;14;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;3;16;F
42;42;18;18;No education;Primary;NotAtAll;NotAtAll;Poorest;Rural;4;24;F
44;47;17;20;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;3;27;M
44;45;26;27;Primary;Secondary;NotAtAll;NotAtAll;Poorest;Rural;5;17;M
32;33;26;27;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;1;6;M
42;46;22;26;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;4;19;F
41;43;25;27;Primary;Secondary;NotAtAll;NotAtAll;Middle;Rural;4;16;M
49;53;18;22;Primary;Primary;NotAtAll;NotAtAll;Middle;Rural;4;31;M
27;28;18;20;Secondary;Primary;NotAtAll;At least once a week;Middle;Rural;2;8;M
36;48;15;26;Primary;Primary;NotAtAll;NotAtAll;Middle;Rural;2;21;F
43;45;23;23;Primary;Primary;NotAtAll;NotAtAll;Middle;Rural;4;18;M
38;44;16;22;Primary;Primary;NotAtAll;NotAtAll;Richer;Rural;3;21;M
40;43;22;25;Primary;Primary;NotAtAll;NotAtAll;Poorer;Rural;3;18;M
34;41;24;32;Primary;Secondary;NotAtAll;NotAtAll;Poorer;Rural;3;9;M
36;36;28;29;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;2;8;M
43;46;29;32;Secondary;Secondary;AlmostEveryday;NotAtAll;Richest;Urban;2;13;M
35;40;18;23;Primary;Secondary;NotAtAll;NotAtAll;Poorest;Rural;3;16;F
24;31;22;28;Secondary;Primary;NotAtAll;NotAtAll;Poorer;Rural;1;2;F
39;39;20;21;Secondary;Secondary;AlmostEveryday;AlmostEveryday;Richest;Rural;4;18;M
29;42;16;28;Secondary;Secondary;AlmostEveryday;AlmostEveryday;Richer;Rural;4;13;F
34;39;27;32;Primary;Secondary;NotAtAll;NotAtAll;Poorer;Rural;2;6;M
20;26;19;25;Higher;Higher;AlmostEveryday;At least once a week;Middle;Rural;1;1;F
42;49;22;29;Primary;Primary;NotAtAll;NotAtAll;Poorer;Rural;4;19;M
25;28;25;27;Higher;Secondary;AlmostEveryday;At least once a week;Richer;Rural;1;0;F
34;33;27;25;Higher;Secondary;NotAtAll;NotAtAll;Poorer;Rural;2;7;M
38;40;23;25;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;3;14;M
29;32;27;30;Higher;Higher;LessThanOnceAweek;AlmostEveryday;Richer;Rural;1;2;F
25;39;23;37;Higher;Secondary;AlmostEveryday;AlmostEveryday;Richest;Urban;1;1;F
43;53;19;29;Secondary;Secondary;NotAtAll;At least once a week;Middle;Urban;3;24;M
43;40;30;27;Secondary;Secondary;NotAtAll;NotAtAll;Poorest;Urban;3;13;M
40;52;11;23;Primary;Primary;NotAtAll;NotAtAll;Poorer;Urban;4;29;M
39;48;20;29;Primary;Primary;NotAtAll;NotAtAll;Poorer;Urban;3;18;M
36;44;15;23;Primary;Primary;NotAtAll;NotAtAll;Poorer;Urban;3;20;F
49;54;18;24;Primary;Secondary;NotAtAll;NotAtAll;Middle;Urban;2;30;M
31;31;19;19;Secondary;Primary;AlmostEveryday;NotAtAll;Middle;Rural;2;11;M
31;34;19;22;Secondary;Secondary;onceAweek;AlmostEveryday;Richer;Rural;2;12;M
48;51;14;23;Primary;Secondary;NotAtAll;NotAtAll;Middle;Rural;5;33;F
36;35;22;22;Primary;Primary;NotAtAll;At least once a week;Middle;Rural;2;13;M
49;52;26;24;Secondary;Secondary;NotAtAll;NotAtAll;Middle;Urban;2;23;F
39;42;37;40;Higher;Secondary;AlmostEveryday;NotAtAll;Middle;Urban;1;1;F
42;44;30;32;Higher;Secondary;NotAtAll;AlmostEveryday;Middle;Urban;2;12;M
34;34;29;20;Primary;Secondary;NotAtAll;NotAtAll;Poorer;Urban;1;5;F
31;35;20;24;Higher;Higher;NotAtAll;AlmostEveryday;Richest;Urban;2;10;F
24;28;21;25;Higher;Secondary;onceAweek;AlmostEveryday;Poorest;Urban;1;2;F
49;42;29;19;Secondary;Secondary;NotAtAll;NotAtAll;Middle;Rural;2;19;M
41;49;21;29;Primary;Primary;NotAtAll;NotAtAll;Poorer;Rural;4;20;F
36;47;18;29;Higher;Secondary;NotAtAll;NotAtAll;Richer;Rural;3;18;M
26;32;18;25;Secondary;Secondary;NotAtAll;NotAtAll;Poorest;Rural;1;7;F
33;38;21;27;Primary;Secondary;NotAtAll;NotAtAll;Middle;Rural;3;11;F
41;48;22;30;Higher;Higher;AlmostEveryday;At least once a week;Richest;Rural;5;11;F
22;39;20;38;Secondary;Secondary;NotAtAll;NotAtAll;Poorer;Rural;2;1;M
38;52;14;28;Primary;Primary;NotAtAll;NotAtAll;Poorer;Rural;5;23;M
23;25;20;22;Secondary;Secondary;AlmostEveryday;NotAtAll;Poorer;Rural;1;2;M
45;51;19;24;Primary;Primary;NotAtAll;NotAtAll;Poorer;Rural;5;25;F
43;45;23;26;Secondary;Secondary;LessThanOnceAweek;NotAtAll;Middle;Rural;3;20;F
30;30;29;29;Higher;Higher;AlmostEveryday;AlmostEveryday;Poorer;Rural;1;1;M
45;48;22;25;Secondary;Secondary;NotAtAll;NotAtAll;Richer;Rural;3;23;F
44;46;32;36;Secondary;Secondary;NotAtAll;NotAtAll;Poorer;Rural;2;11;M
36;38;32;33;Higher;Secondary;NotAtAll;NotAtAll;Poorest;Rural;1;4;M
